request_id,timestamp,child_id,latitude,longitude,country,timezone,letter_text,primary_gift_category,gift_count,sentiment_score,urgency_level,language_code,delivery_preference,extracted_gifts_json
REQ_2025_00000002,2025-10-26 16:38:01.310629,CH_IQ_30379,13.296212,-33.238198,Ethiopia,Africa/Gaborone,"Dear Santa, I have been very very good this year. For Christmas, I would really like skateboard and maybe basketball. I promise to be kind to others. Love, Derrick",SPORTS,3,0.686,3,es,chimney,"[{""item_name"": ""skateboard"", ""category"": ""SPORTS"", ""confidence_score"": 0.88}, {""item_name"": ""basketball"", ""category"": ""SPORTS"", ""confidence_score"": 0.87}, {""item_name"": ""soccer ball"", ""category"": ""SPORTS"", ""confidence_score"": 0.87}]"
REQ_2025_00000030,2025-10-26 16:38:27.423181,CH_IL_65069,87.3481405,-156.365187,China,Africa/Cairo,"Santa, please bring me board game for Christmas. I really need it because I want to learn. I've been trying my best all year. From Jeffrey",TOYS,3,0.756,5,en,mailbox,"[{""item_name"": ""board game"", ""category"": ""TOYS"", ""confidence_score"": 0.9}, {""item_name"": ""stuffed animal"", ""category"": ""TOYS"", ""confidence_score"": 0.99}, {""item_name"": ""action figure"", ""category"": ""TOYS"", ""confidence_score"": 0.86}]"
REQ_2025_00000982,2025-10-26 16:45:35.491150,CH_TW_12104,-13.8396045,100.164359,Spain,Asia/Jerusalem,"Dear Santa, I have been very trying my best this year. For Christmas, I would really like headphones and maybe robot. I promise to be kind to others. Love, Michael",ELECTRONICS,3,0.984,3,fr,chimney,"[{""item_name"": ""headphones"", ""category"": ""ELECTRONICS"", ""confidence_score"": 0.86}, {""item_name"": ""robot"", ""category"": ""ELECTRONICS"", ""confidence_score"": 0.95}, {""item_name"": ""tablet"", ""category"": ""ELECTRONICS"", ""confidence_score"": 0.82}]"
REQ_2025_00000168,2025-10-26 17:38:46.622203,CH_CU_61213,-39.2184795,30.493859,Philippines,Indian/Comoro,"Dear Santa, I have been very helpful this year. For Christmas, I would really like smartwatch and maybe tablet. I promise to do my homework. Love, Michael",ELECTRONICS,3,0.835,1,it,mailbox,"[{""item_name"": ""smartwatch"", ""category"": ""ELECTRONICS"", ""confidence_score"": 0.95}, {""item_name"": ""tablet"", ""category"": ""ELECTRONICS"", ""confidence_score"": 0.97}, {""item_name"": ""robot"", ""category"": ""ELECTRONICS"", ""confidence_score"": 0.81}]"
REQ_2025_00000224,2025-10-26 18:43:29.114918,CH_CU_31516,-83.633574,108.093282,New Caledonia,Asia/Aden,"Santa, please bring me action figure for Christmas. I really need it because my old one broke. I've been helpful all year. From Emma",TOYS,3,0.797,4,es,stocking,"[{""item_name"": ""action figure"", ""category"": ""TOYS"", ""confidence_score"": 0.92}, {""item_name"": ""stuffed animal"", ""category"": ""TOYS"", ""confidence_score"": 0.84}, {""item_name"": ""toy car"", ""category"": ""TOYS"", ""confidence_score"": 0.99}]"
REQ_2025_00000160,2025-10-26 19:43:00.050333,CH_PK_12134,34.815921,-5.218847,Tajikistan,Europe/Podgorica,"Santa, please bring me drone for Christmas. I really need it because it would help me in school. I've been good all year. From Jesus",ELECTRONICS,3,0.65,2,ja,mailbox,"[{""item_name"": ""drone"", ""category"": ""ELECTRONICS"", ""confidence_score"": 0.8}, {""item_name"": ""headphones"", ""category"": ""ELECTRONICS"", ""confidence_score"": 0.99}, {""item_name"": ""smartwatch"", ""category"": ""ELECTRONICS"", ""confidence_score"": 0.84}]"
REQ_2025_00000153,2025-10-26 20:42:16.348767,CH_RW_34523,-86.711552,-167.560759,South Africa,Asia/Karachi,"Santa, please bring me rollerblades for Christmas. I really need it because I want to learn. I've been very good all year. From Nicholas",SPORTS,3,0.726,4,en,stocking,"[{""item_name"": ""rollerblades"", ""category"": ""SPORTS"", ""confidence_score"": 0.99}, {""item_name"": ""tennis racket"", ""category"": ""SPORTS"", ""confidence_score"": 0.9}, {""item_name"": ""skateboard"", ""category"": ""SPORTS"", ""confidence_score"": 0.84}]"
REQ_2025_00000149,2025-10-26 20:53:31.604699,CH_ZA_98754,41.507635,-17.468703,India,Europe/Budapest,"Santa, please bring me picture book for Christmas. I really need it because my old one broke. I've been good all year. From Amanda",BOOKS,3,0.92,2,fr,tree,"[{""item_name"": ""picture book"", ""category"": ""BOOKS"", ""confidence_score"": 0.87}, {""item_name"": ""comic book"", ""category"": ""BOOKS"", ""confidence_score"": 0.89}, {""item_name"": ""coloring book"", ""category"": ""BOOKS"", ""confidence_score"": 0.89}]"
REQ_2025_00000614,2025-10-26 22:17:52.320792,CH_MX_46208,-36.98123,-27.357389,United States Minor Outlying Islands,Europe/Oslo,"Santa, please bring me tennis racket for Christmas. I really need it because it would help me in school. I've been excellent all year. From Samantha",SPORTS,3,0.724,1,pt,chimney,"[{""item_name"": ""tennis racket"", ""category"": ""SPORTS"", ""confidence_score"": 0.89}, {""item_name"": ""skateboard"", ""category"": ""SPORTS"", ""confidence_score"": 0.89}, {""item_name"": ""soccer ball"", ""category"": ""SPORTS"", ""confidence_score"": 0.99}]"
REQ_2025_00000701,2025-10-26 23:04:31.243987,CH_BJ_31087,-25.9504175,130.963656,Antarctica (the territory South of 60 deg S),Europe/Podgorica,"Hi Santa! My name is Paula and I am 9 years old. This year I want art supplies, science kit, and building blocks. I've been kind and helped my brother. Thank you!",CREATIVE,3,0.728,5,zh,mailbox,"[{""item_name"": ""art supplies"", ""category"": ""CREATIVE"", ""confidence_score"": 0.8}, {""item_name"": ""science kit"", ""category"": ""CREATIVE"", ""confidence_score"": 0.93}, {""item_name"": ""building blocks"", ""category"": ""CREATIVE"", ""confidence_score"": 0.93}]"
